image_id,class_id
018360.jpg,2561
118826.jpg,3143
132028.jpg,7110
136394.jpg,3351
011293.jpg,8564
103785.jpg,9067
114967.jpg,4621
079666.jpg,7920
157569.jpg,7647
027600.jpg,1318
037536.jpg,6157
148545.jpg,1177
040982.jpg,4987
182668.jpg,7570
032714.jpg,8820
034071.jpg,5706
047723.jpg,7559
061234.jpg,6169
046645.jpg,6273
139393.jpg,7309
025448.jpg,2050
072845.jpg,507
142287.jpg,3983
041366.jpg,4848
158047.jpg,9918
073449.jpg,2403
136895.jpg,826
194360.jpg,5535
056896.jpg,7435
081659.jpg,3148
083428.jpg,3919
156514.jpg,7056
198996.jpg,9063
050268.jpg,8060
066955.jpg,2032
147495.jpg,4544
073781.jpg,5265
121967.jpg,253
154084.jpg,5114
192965.jpg,8459
056035.jpg,804
078053.jpg,6928
027761.jpg,7821
076177.jpg,9092
196017.jpg,5100
070886.jpg,6562
095141.jpg,164
060644.jpg,5118
183288.jpg,6306
137541.jpg,1488
053767.jpg,5164
080141.jpg,353
098698.jpg,6707
010114.jpg,5600
057774.jpg,1231
057441.jpg,6152
109008.jpg,1152
093024.jpg,1746
040430.jpg,1488
142846.jpg,8564
055869.jpg,3504
090249.jpg,1833
133104.jpg,7754
179858.jpg,971
071956.jpg,3321
077631.jpg,6858
167245.jpg,686
056442.jpg,10089
039213.jpg,1488
039967.jpg,61
040784.jpg,1895
053225.jpg,6152
061669.jpg,320
194254.jpg,8814
103488.jpg,2890
068819.jpg,1267
029983.jpg,6711
154511.jpg,6136
187619.jpg,7170
106340.jpg,689
001251.jpg,2433
007221.jpg,7309
019250.jpg,3699
199458.jpg,6407
100748.jpg,852
112813.jpg,3969
133684.jpg,10049
133731.jpg,5848
148060.jpg,1225
095246.jpg,4764
116657.jpg,2759
101736.jpg,1676
127450.jpg,1919
143946.jpg,2736
084372.jpg,9767
157865.jpg,5024
064717.jpg,1387
045602.jpg,3988
168344.jpg,1558
175006.jpg,2256
097078.jpg,1616
119537.jpg,103
001473.jpg,8887
027451.jpg,8540
104698.jpg,1554
031176.jpg,3332
101055.jpg,3942
083715.jpg,6003
004432.jpg,1554
002213.jpg,8302
064067.jpg,2253
167422.jpg,2842
110033.jpg,507
188987.jpg,5431
093100.jpg,5835
045668.jpg,6746
008192.jpg,2722
119815.jpg,6963
048280.jpg,31
162918.jpg,4809
083133.jpg,6044
175458.jpg,1043
019524.jpg,4431
138889.jpg,507
072259.jpg,6474
149070.jpg,6714
